Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-2363.106	-2434.142	71.03598	0.150455	0.076052	0.011667	0.0919553	0.0575636	0.130135	0.0514739	0.0505115	0.058781	0.0483094	0.0859164	0.165672	0.0327164	0.0207018	0.008994	0.0277542	0.0241304	0.1015	0.0461729	0.0313222	0.0190205	0.0213838	0.00689588	0.043913	0.0423189	0.00986674	0.00353138	0.0181234	0.0249063	0.0568004	0.0631445	0.00302647	0.249829	0.0140002	0.0141008	0.0267318	0.0196011	0.0132731	0.0109681	0.0148389	0.00389388	0.057197	0.1378	0.00896359	0.0491535	0.026668	0.0425766	0.0742873	0.0335949	0.0302953	0.114603	0.298734	1.40907	0.12782	0.366679	0.731249	1.36752	2.72718	7.82352	1.48745	0.123671	0.059537	0.0300947	0.00461677	0.0363878	0.0227786	0.051496	0.0203689	0.019988	0.0232603	0.0191166	0.0339982	0.0655583	0.0129463	0.00819193	0.00355903	0.0109826	0.00954868	0.0401646	0.0182712	0.0123946	0.00752664	0.00846182	0.00272878	0.0173769	0.0167461	0.00390439	0.00139741	0.00717165	0.00985573	0.0224766	0.024987	0.00119761	0.0988604	0.00554003	0.00557987	0.0105781	0.00775638	0.00525234	0.00434019	0.00587193	0.00154085	0.0226335	0.054529	0.003547	0.0194506	0.0105528	0.0168481	0.0293964	0.0132939	0.0119882	0.0453496	0.47925	0.52075	0.4792504	2.52709
36	-2357.128	-2427.403	70.27512	0.120786	0.0819754	0.0574102	0.0946964	0.101323	0.159052	0.0848638	0.0388093	0.115826	0.0521777	0.0902441	0.132013	0.0571904	0.0295748	0.0150775	0.0292698	0.0191931	0.118063	0.0467951	0.0183488	0.0512066	0.0267476	0.0149721	0.0136431	0.0316075	0.0303109	0.0075434	0.00298674	0.0388213	0.316222	0.010961	0.00120052	0.0176342	0.0309504	0.0138211	0.0716677	0.0134406	0.0192701	0.0912542	0.0153566	0.0203091	0.00230166	0.0478812	0.274573	0.0124967	0.0905767	0.00252608	0.0255856	0.0224998	0.0175445	0.0412704	0.471887	1.30807	0.134557	0.37598	0.736986	1.35688	2.65971	7.43181	1.450309	0.2104383	0.0425323	0.0288659	0.0202158	0.0333453	0.0356789	0.0560067	0.029883	0.0136659	0.0407858	0.0183732	0.0317775	0.0464855	0.0201384	0.0104141	0.0053092	0.0103067	0.00675844	0.0415732	0.0164779	0.00646113	0.0180313	0.00941858	0.00527211	0.00480412	0.0111299	0.0106733	0.00265624	0.00105172	0.0136701	0.111351	0.00385967	0.000422737	0.00620951	0.0108985	0.00486679	0.0252362	0.00473283	0.00678555	0.0321332	0.00540749	0.00715142	0.000810479	0.0168603	0.096685	0.00440043	0.0318946	0.000889504	0.00900942	0.00792283	0.00617792	0.0145325	0.479837	0.520163	0.4798367	2.839873
72	-2364.009	-2435.259	71.25018	0.0932151	0.0887548	0.0289164	0.053878	0.0779211	0.137117	0.125459	0.0370881	0.0378146	0.0275381	0.0411393	0.0898546	0.0143418	0.0284958	0.00378714	0.0292286	0.0173722	0.0927351	0.0460032	0.0207909	0.0423739	0.0188633	0.00882878	0.0114226	0.020638	0.0188455	0.00291124	0.000766842	0.0304064	0.182228	0.0204258	0.00703748	0.0127049	0.0134395	0.0107063	0.0829713	0.00793172	0.0164056	0.0380095	0.00866631	0.0177437	0.0236384	0.003863	0.232542	0.00553162	0.0538038	0.0156816	0.0196753	0.0241628	0.0103028	0.0159102	0.643597	1.2079	0.136131	0.378119	0.738292	1.35448	2.64467	7.34586	1.441899	0.3108129	0.0450338	0.042879	0.01397	0.0260294	0.037645	0.0662436	0.0606116	0.0179179	0.0182689	0.0133041	0.0198751	0.0434103	0.00692876	0.0137668	0.00182963	0.0141209	0.00839283	0.0448019	0.0222249	0.0100444	0.0204716	0.00911318	0.00426534	0.00551848	0.00997058	0.00910457	0.00140647	0.000370475	0.0146899	0.0880377	0.00986804	0.00339993	0.00613797	0.00649287	0.0051724	0.0400849	0.00383195	0.00792581	0.0183631	0.00418684	0.0085723	0.0114201	0.00186628	0.112345	0.00267242	0.0259936	0.00757605	0.0095055	0.0116735	0.00497748	0.00768649	0.559131	0.440869	0.5591312	2.06989
108	-2350.434	-2421.287	70.85283	0.112479	0.146628	0.074583	0.0694199	0.0826463	0.115594	0.082441	0.0222898	0.0670841	0.0339786	0.0607938	0.152708	0.0483992	0.0489352	0.00579573	0.0332017	0.0230155	0.167881	0.0598747	0.0259557	0.020397	0.0250098	0.00789678	0.0016258	0.0374447	0.00725381	0.00454088	0.00274437	0.0246254	0.224846	0.0672248	0.00354527	0.0249041	0.0346197	0.0303675	0.125978	0.00630533	0.0353431	0.0525164	0.00838527	0.00868556	0.00259505	0.00373488	0.260423	0.00748993	0.0152724	0.0272472	0.0559055	0.01711	0.00824412	0.00664723	0.407485	1.34563	0.148501	0.394503	0.748127	1.33667	2.53484	6.73396	1.379011	0.1766453	0.0433842	0.0565558	0.0287673	0.0267759	0.0318774	0.0445854	0.0317982	0.00859736	0.0258749	0.0131058	0.0234487	0.0589006	0.018668	0.0188747	0.00223546	0.0128062	0.00887726	0.0647529	0.0230942	0.0100113	0.0078673	0.0096465	0.00304586	0.000627086	0.0144427	0.00279786	0.00175146	0.00105853	0.00949821	0.0867248	0.0259292	0.00136744	0.00960571	0.0133531	0.011713	0.0485908	0.00243202	0.0136322	0.020256	0.00323427	0.00335009	0.00100093	0.00144057	0.100447	0.00288893	0.0058907	0.0105095	0.0215632	0.00659949	0.00317983	0.00256389	0.520914	0.479086	0.5209139	2.592631
144	-2354.22	-2424.638	70.41806	0.116041	0.0972159	0.0348958	0.132955	0.0981284	0.165644	0.0822782	0.0156395	0.0971655	0.075221	0.068876	0.16388	0.0478457	0.0344169	0.00235457	0.032483	0.014592	0.125161	0.0516222	0.0343849	0.0149037	0.0036011	0.00947003	0.00984247	0.0144141	0.00817778	0.00885666	0.00913877	0.037507	0.340377	0.045072	0.00500272	0.0172539	0.0288123	0.0312553	0.0973207	0.00555127	0.030839	0.0393574	0.00678258	0.0509561	0.0147322	0.000538697	0.312442	0.00326475	0.023568	0.0720141	0.014127	0.0166342	0.00234812	0.0131773	0.509302	1.28624	0.154381	0.402046	0.75256	1.3288	2.48728	6.47748	1.350932	0.2309775	0.0417693	0.0349932	0.0125608	0.0478576	0.0353216	0.059624	0.0296163	0.0056295	0.034975	0.027076	0.0247921	0.0589892	0.0172222	0.0123885	0.000847534	0.0116923	0.00525243	0.0450522	0.0185816	0.012377	0.00536465	0.00129623	0.00340877	0.00354283	0.00518841	0.00294362	0.00318798	0.00328953	0.0135008	0.12252	0.0162238	0.00180075	0.00621061	0.0103711	0.0112505	0.0350309	0.0019982	0.0111006	0.0141668	0.00244141	0.0183418	0.00530289	0.000193906	0.112464	0.00117516	0.00848337	0.0259217	0.00508506	0.00598755	0.000845213	0.0047432	0.590516	0.409484	0.5905161	2.778138
180	-2353.622	-2423.566	69.94404	0.171556	0.15084	0.055916	0.0445701	0.115684	0.135474	0.142409	0.0151732	0.176064	0.0322354	0.110807	0.115526	0.0394689	0.0702582	0.00936162	0.0502965	0.0159752	0.174199	0.0683855	0.0464166	0.0368061	0.0206012	0.0313321	0.0182938	0.0222131	0.00438058	0.0110804	0.0155677	0.0325792	0.343517	0.0572593	0.0109076	0.0375636	0.0255254	0.0283512	0.00559486	0.0250397	0.0156599	0.107076	0.00126523	0.112944	0.0139937	0.0307172	0.333875	0.00167692	0.0218277	0.071607	0.0123743	0.0177904	0.0123968	0.0427661	0.439967	1.32669	0.211246	0.468487	0.789339	1.26688	2.13453	4.73382	1.124179	0.19345	0.0525731	0.0462245	0.0171354	0.0136584	0.0354511	0.0415156	0.0436409	0.0046498	0.0539544	0.00987847	0.0339565	0.0354027	0.0120951	0.0215305	0.00286885	0.0154132	0.00489558	0.0533828	0.0209566	0.0142243	0.0112791	0.0063132	0.00960167	0.0056061	0.00680716	0.00134242	0.00339556	0.00477069	0.00998383	0.10527	0.017547	0.00334261	0.0115113	0.0078222	0.00868818	0.00171453	0.00767336	0.00479896	0.0328132	0.000387727	0.0346115	0.00428835	0.00941321	0.102315	0.00051389	0.00668905	0.0219438	0.00379207	0.00545184	0.00379898	0.0131056	0.575416	0.424584	0.5754155	3.263198
216	-2352.9	-2423.564	70.66463	0.19155	0.117552	0.0655915	0.0706128	0.130355	0.119989	0.0922837	0.0647042	0.074036	0.0319941	0.0814637	0.155619	0.0328795	0.013872	0.00309594	0.0632333	0.0314357	0.106184	0.0340911	0.044706	0.0274105	0.0175874	0.00814766	0.00733778	0.0145434	0.0163696	0.00737399	0.00758051	0.0239209	0.276365	0.0584473	0.00963649	0.0174862	0.0160475	0.016914	0.0246511	0.0113635	0.0323945	0.0447697	0.00241484	0.0907831	0.012923	0.00720931	0.266505	0.00476121	0.0149397	0.0649466	0.0067686	0.0414458	0.0155119	0.0363509	0.488099	1.29861	0.185323	0.439509	0.773771	1.29237	2.27527	5.39598	1.218845	0.2192531	0.0702124	0.0430885	0.0240424	0.025883	0.0477815	0.0439819	0.0338264	0.0237172	0.0271377	0.0117274	0.0298603	0.057042	0.0120519	0.00508475	0.00113481	0.023178	0.0115227	0.0389214	0.012496	0.0163869	0.0100473	0.00644663	0.00298651	0.00268965	0.00533087	0.00600022	0.00270292	0.00277862	0.00876815	0.101301	0.0214237	0.00353223	0.00640951	0.00588219	0.00619978	0.00903581	0.00416525	0.0118741	0.0164102	0.000885153	0.0332763	0.0047369	0.00264256	0.0976867	0.00174521	0.00547613	0.023806	0.00248101	0.0151919	0.00568587	0.0133243	0.697142	0.302858	0.6971422	2.728158
252	-2357.241	-2428.108	70.86718	0.105502	0.107578	0.0703207	0.0567163	0.054794	0.0873402	0.0798806	0.0170693	0.12756	0.0419006	0.0762112	0.202275	0.0211057	0.0243432	0.012709	0.0370292	0.0138472	0.081824	0.0406349	0.0309971	0.0224441	0.0290405	0.00474476	0.0367706	0.0276074	0.00246638	0.00386863	0.0348279	0.00691042	0.0629794	0.0482277	0.0395293	0.166446	0.0125645	0.00920371	0.103435	0.0418224	0.00887481	0.0160136	0.0199538	0.00171411	0.0504928	0.229376	0.00708771	0.0167302	0.0312501	0.0172311	0.090574	0.0251957	0.0436496	0.00685201	0.596076	1.23562	0.18746	0.441973	0.775122	1.29012	2.26258	5.33448	1.210555	0.2814058	0.0420741	0.0429021	0.0280439	0.0226185	0.0218519	0.0348313	0.0318564	0.00680724	0.0508708	0.0167099	0.030393	0.0806674	0.00841696	0.00970807	0.00506834	0.0147673	0.00552228	0.0326314	0.0162052	0.0123616	0.00895071	0.0115814	0.00189221	0.0146641	0.0110098	0.000983591	0.00154281	0.0138894	0.00275588	0.0251162	0.0192332	0.0157643	0.0663788	0.00501072	0.00367044	0.0412499	0.0166788	0.00353927	0.00638621	0.00795758	0.000683589	0.0201365	0.0914752	0.00282658	0.00667198	0.0124625	0.00687175	0.0361209	0.0100481	0.0174075	0.00273258	0.670192	0.329808	0.6701915	2.507523
288	-2354.759	-2426.016	71.25747	0.16539	0.0711386	0.0412831	0.0440445	0.0555168	0.0923318	0.0851204	0.0164071	0.0516645	0.0320676	0.0544728	0.141129	0.0179286	0.0263889	0.00816916	0.0140026	0.0262176	0.118487	0.0226406	0.0272276	0.0306225	0.00653239	0.00218076	0.0359652	0.0292211	0.0192689	0.00992369	0.0208438	0.0123194	0.0543083	0.0293518	0.0114236	0.209734	0.00282084	0.00484652	0.0451357	0.020769	0.000720531	0.0179735	0.026578	0.0106441	0.0892631	0.248261	0.00788843	0.0338888	0.0364084	0.0361016	0.0749292	0.0229475	0.036519	0.00059012	0.404223	1.34754	0.135394	0.37712	0.737682	1.3556	2.65168	7.38583	1.445822	0.1749838	0.071921	0.0309351	0.0179522	0.019153	0.0241418	0.0401511	0.0370151	0.00713472	0.0224667	0.0139448	0.0236878	0.0613709	0.00779635	0.0114754	0.00355241	0.00608913	0.0114009	0.0515249	0.00984542	0.0118401	0.0133164	0.00284065	0.000948319	0.0156397	0.012707	0.00837918	0.00431538	0.00906406	0.00535719	0.0236163	0.0127638	0.00496762	0.0912043	0.00122666	0.00210754	0.0196276	0.00903154	0.000313327	0.00781588	0.0115576	0.00462866	0.0388166	0.107958	0.00343033	0.0147367	0.0158324	0.015699	0.0325834	0.00997885	0.0158805	0.000256617	0.601373	0.398627	0.601373	2.29961
324	-2365.85	-2436.802	70.9524	0.171916	0.0601582	0.0570502	0.0317146	0.0749559	0.150398	0.0373948	0.0362182	0.0626464	0.0365428	0.0411908	0.0920943	0.0349477	0.0455438	0.00450028	0.020477	0.0357628	0.0660487	0.0424529	0.0499589	0.0103063	0.0293472	0.0215596	0.0210805	0.0286906	0.0114843	0.0265827	0.00412228	0.0276465	0.226085	0.0172274	0.0143944	0.0302119	0.0610059	0.0229574	0.0622174	0.0067554	0.0307874	0.0605126	0.00068194	0.052195	0.00775469	0.0236437	0.191713	0.00789582	0.00611882	0.038025	0.031902	0.0148227	0.0438411	0.0134333	0.607157	1.22916	0.136018	0.377966	0.738198	1.35465	2.64574	7.35199	1.442501	0.288144	0.0748445	0.0261902	0.0248371	0.0138071	0.0326324	0.0654765	0.01628	0.0157678	0.0272734	0.0159091	0.0179327	0.0400937	0.0152147	0.0198278	0.00195922	0.00891478	0.0155695	0.0287547	0.0184821	0.0217499	0.00448691	0.0127765	0.00938608	0.00917749	0.0124906	0.00499976	0.0115729	0.00179465	0.0120361	0.0984273	0.00750005	0.00626667	0.0131529	0.0265592	0.0099946	0.0270867	0.002941	0.0134034	0.0263445	0.000296886	0.0227234	0.00337604	0.0102934	0.0834635	0.00343749	0.00266386	0.0165544	0.0138887	0.00645315	0.0190865	0.00584827	0.659029	0.340971	0.6590288	2.296974
