Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2363.106	-2434.142	71.03598	1.48745	0.123671	0.47925	0.52075	2.52709
6	-2363.099	-2434.032	70.93276	1.657133	0.1857955	0.612208	0.387792	2.350011
12	-2364.259	-2436.275	72.01628	1.56176	0.1857955	0.644665	0.355335	1.691547
18	-2371.894	-2443.086	71.19152	1.56176	0.1561156	0.603098	0.396902	2.307756
24	-2361.865	-2432.743	70.87835	1.453835	0.2732286	0.654915	0.345085	2.359995
30	-2353.967	-2425.299	71.33197	1.372856	0.1905664	0.479681	0.520319	2.267232
36	-2357.128	-2427.403	70.27512	1.450309	0.2104383	0.479837	0.520163	2.839873
42	-2358.279	-2428.274	69.99559	1.350542	0.2748377	0.503983	0.496017	2.965176
48	-2356.085	-2426.573	70.48815	1.152111	0.2115876	0.587274	0.412726	2.889443
54	-2363.552	-2434.294	70.74136	1.144819	0.2115876	0.618083	0.381917	2.739918
60	-2354.766	-2424.502	69.73573	1.31499	0.2284376	0.548332	0.451668	3.213573
66	-2354.363	-2425.201	70.83745	1.310867	0.198041	0.527508	0.472492	2.603225
72	-2364.009	-2435.259	71.25018	1.441899	0.3108129	0.559131	0.440869	2.06989
78	-2357.609	-2428.804	71.19546	1.389861	0.2226437	0.543173	0.456827	2.2835
84	-2357.669	-2428.537	70.86789	1.406518	0.2393165	0.561798	0.438202	2.451598
90	-2348.678	-2418.684	70.00633	1.259502	0.260711	0.466303	0.533697	3.034589
96	-2355.33	-2425.973	70.64274	1.318373	0.1892162	0.566055	0.433945	2.734943
102	-2352.8	-2423.964	71.16393	1.289821	0.2336985	0.659316	0.340684	2.347917
108	-2350.434	-2421.287	70.85283	1.379011	0.1766453	0.520914	0.479086	2.592631
114	-2363.95	-2434.033	70.0827	1.082246	0.1852911	0.588713	0.411287	3.22089
120	-2355.043	-2424.59	69.5471	1.199461	0.2636479	0.623352	0.376648	3.338172
126	-2358.101	-2427.729	69.62773	1.13261	0.2636479	0.654041	0.345959	3.330066
132	-2353.254	-2422.945	69.69098	1.257846	0.2897867	0.658035	0.341965	3.180825
138	-2360.872	-2431.491	70.61874	1.282071	0.2617073	0.658035	0.341965	2.647622
144	-2354.22	-2424.638	70.41806	1.350932	0.2309775	0.590516	0.409484	2.778138
150	-2354.412	-2425.993	71.58067	1.505801	0.2486892	0.636579	0.363421	1.907712
156	-2356.422	-2427.914	71.492	1.603128	0.2632353	0.495162	0.504838	1.876364
162	-2350.416	-2421.176	70.76076	1.36531	0.2286044	0.691749	0.308251	2.562461
168	-2345.986	-2416.541	70.55431	1.236782	0.1993293	0.585306	0.414694	2.819876
174	-2354.174	-2424.484	70.31036	1.236782	0.1907676	0.585306	0.414694	2.98294
180	-2353.622	-2423.566	69.94404	1.124179	0.19345	0.575416	0.424584	3.263198
186	-2354.03	-2424.654	70.62323	1.169051	0.3031043	0.664103	0.335897	2.652677
192	-2354.086	-2423.904	69.81839	1.174744	0.2366267	0.610922	0.389078	3.234407
198	-2360.396	-2430.312	69.91594	1.327077	0.335082	0.595691	0.404309	2.94351
204	-2364.752	-2434.632	69.87994	1.447909	0.3120305	0.573714	0.426286	2.923215
210	-2358.049	-2427.642	69.59257	1.147307	0.2624846	0.746381	0.253619	3.343833
216	-2352.9	-2423.564	70.66463	1.218845	0.2192531	0.697142	0.302858	2.728158
222	-2363.8	-2433.843	70.04306	1.361132	0.2775266	0.503296	0.496704	2.926235
228	-2365.556	-2435.551	69.99537	1.11822	0.3095109	0.582723	0.417277	3.055315
234	-2355.308	-2426.473	71.16524	1.159133	0.2654949	0.525425	0.474575	2.377182
240	-2358.062	-2428.444	70.38238	1.425434	0.1557215	0.602919	0.397081	2.894421
246	-2353.244	-2424.523	71.27927	1.396443	0.2285358	0.670348	0.329652	2.214836
252	-2357.241	-2428.108	70.86718	1.210555	0.2814058	0.670192	0.329808	2.507523
258	-2350.622	-2422.044	71.42136	1.408263	0.2292474	0.649724	0.350276	2.11348
264	-2347.228	-2418.566	71.33748	1.492143	0.2292474	0.578575	0.421425	2.11348
270	-2352.983	-2424.719	71.73605	1.536797	0.163312	0.521012	0.478988	1.952088
276	-2352.509	-2424.555	72.04603	1.61688	0.1689556	0.518497	0.481503	1.669507
282	-2356.978	-2428.415	71.43751	1.533637	0.2030235	0.518497	0.481503	2.069706
288	-2354.759	-2426.016	71.25747	1.445822	0.1749838	0.601373	0.398627	2.29961
294	-2360.403	-2431.973	71.57017	1.445822	0.2198894	0.678946	0.321054	2.007674
300	-2361.555	-2432.531	70.97654	1.445822	0.4214429	0.542199	0.457801	2.097908
306	-2357.321	-2428.489	71.16775	1.413749	0.3416075	0.515068	0.484932	2.097908
312	-2359.934	-2431.602	71.66863	1.614234	0.1845518	0.60809	0.39191	1.898893
318	-2365.357	-2436.889	71.53164	1.375588	0.2307272	0.68883	0.31117	2.059769
324	-2365.85	-2436.802	70.9524	1.442501	0.288144	0.659029	0.340971	2.296974
330	-2360.89	-2431.33	70.44	1.21604	0.3098336	0.601893	0.398107	2.726855
336	-2358.844	-2429.53	70.68678	1.240888	0.2046886	0.569336	0.430664	2.726855
342	-2352.455	-2423.687	71.23196	1.352887	0.1352921	0.57248	0.42752	2.461235
348	-2369.051	-2440.249	71.19825	1.507136	0.1045542	0.57248	0.42752	2.461235
354	-2365.482	-2436.134	70.65143	1.380689	0.1674927	0.555033	0.444967	2.733915
360	-2364.537	-2435.377	70.84002	1.44915	0.1596189	0.638174	0.361826	2.591894
366	-2370.321	-2441.222	70.90096	1.388215	0.1596189	0.544953	0.455047	2.591894
372	-2356.187	-2425.619	69.43141	1.154036	0.1779342	0.69907	0.30093	3.574315
378	-2352.671	-2422.072	69.40112	1.127876	0.2174824	0.592322	0.407678	3.537854
384	-2361.006	-2431.897	70.89108	1.116933	0.3341335	0.669474	0.330526	2.475453
390	-2363.609	-2434.118	70.50912	1.321371	0.263675	0.669474	0.330526	2.687823
396	-2367.282	-2437.748	70.46628	1.381271	0.2343311	0.669474	0.330526	2.724538
402	-2355.536	-2426.656	71.11954	1.326259	0.1955316	0.493437	0.506563	2.422239
408	-2357.148	-2427.425	70.27746	1.29375	0.2347424	0.689669	0.310331	2.891972
414	-2361	-2431.996	70.99589	1.224205	0.2272693	0.689669	0.310331	2.506194
420	-2355.256	-2426.268	71.01151	1.519847	0.1510499	0.583157	0.416843	2.459288
426	-2356.516	-2427.313	70.79715	1.456072	0.227138	0.559968	0.440032	2.485708
432	-2348.542	-2419.904	71.36199	1.472477	0.227138	0.559968	0.440032	2.114125
438	-2353.425	-2424.293	70.86778	1.445777	0.2629198	0.635894	0.364106	2.38814
444	-2352.906	-2423.554	70.64757	1.390074	0.4748177	0.56145	0.43855	2.285446
450	-2349.914	-2420.891	70.97642	1.280068	0.2491271	0.668139	0.331861	2.446512
456	-2353.602	-2424.331	70.72891	1.209018	0.1984186	0.680963	0.319037	2.731993
462	-2353.421	-2424.986	71.5649	1.224709	0.2047229	0.616069	0.383931	2.185084
468	-2361.38	-2432.518	71.1376	1.282412	0.2418053	0.738105	0.261895	2.355461
474	-2362.12	-2433.275	71.1554	1.421617	0.1975906	0.546474	0.453526	2.33523
480	-2367.245	-2438.625	71.38028	1.390816	0.1975906	0.546474	0.453526	2.210819
486	-2366.589	-2437.499	70.91001	1.208041	0.2798156	0.546474	0.453526	2.484733
492	-2362.912	-2431.654	68.74202	1.208041	0.2232013	0.555167	0.444833	3.863247
498	-2353.381	-2423.659	70.27718	1.205528	0.1871272	0.506063	0.493937	3.028325
504	-2356.342	-2425.857	69.51477	1.148708	0.2245314	0.583629	0.416371	3.44779
510	-2358.34	-2428.131	69.79165	1.141462	0.2647561	0.647024	0.352976	3.226478
516	-2355.298	-2426.953	71.65455	1.364544	0.2647561	0.587518	0.412482	1.925347
522	-2357.887	-2429.619	71.73162	1.605083	0.2647561	0.597113	0.402887	1.706092
528	-2366.671	-2439.168	72.49693	1.623178	0.2203078	0.731039	0.268961	1.196043
534	-2363.23	-2434.848	71.61757	1.614439	0.1734454	0.519337	0.480663	1.957098
540	-2357.459	-2428.993	71.53378	1.696839	0.2280412	0.624235	0.375765	1.847356
546	-2354.962	-2426.702	71.74054	1.569279	0.200458	0.572853	0.427147	1.847356
552	-2360.467	-2430.855	70.38768	1.292825	0.3329343	0.634185	0.365815	2.680255
558	-2351.622	-2422.41	70.78802	1.093031	0.2579962	0.615906	0.384094	2.665628
564	-2357.082	-2427.026	69.94363	1.137036	0.2382092	0.596432	0.403568	3.180029
570	-2367.558	-2437.293	69.73491	1.125077	0.2382092	0.649471	0.350529	3.310472
576	-2363.29	-2433.964	70.6739	1.128597	0.2318721	0.615061	0.384939	2.756198
582	-2360.14	-2431.464	71.32465	1.319096	0.2937579	0.453895	0.546105	2.127574
588	-2359.596	-2431.105	71.50888	1.469825	0.2343249	0.464601	0.535399	2.005854
594	-2356.795	-2428.311	71.51571	1.484475	0.2343249	0.683997	0.316003	1.991533
600	-2352.884	-2424.834	71.94945	1.594835	0.1548027	0.660355	0.339645	1.786507
606	-2367.119	-2438.754	71.63452	1.514324	0.2594932	0.660355	0.339645	1.846144
612	-2367.83	-2438.813	70.98305	1.536704	0.2147204	0.660355	0.339645	2.33966
618	-2371.578	-2442.036	70.45747	1.346609	0.2055719	0.546754	0.453246	2.800711
624	-2368.479	-2439.969	71.48949	1.402895	0.1314688	0.663636	0.336364	2.275303
630	-2366.477	-2437.016	70.53946	1.204074	0.3083951	0.583452	0.416548	2.675184
636	-2366.903	-2436.777	69.8742	1.269216	0.2492315	0.668691	0.331309	3.12535
642	-2364.77	-2435.699	70.92871	1.395914	0.2173207	0.647414	0.352586	2.45823
648	-2371.986	-2442.614	70.62769	1.235636	0.1877379	0.564805	0.435195	2.797413
654	-2362.83	-2433.226	70.39534	1.222168	0.1765585	0.62206	0.37794	2.967454
660	-2367.222	-2437.715	70.4928	1.254609	0.2477859	0.57764	0.42236	2.763776
666	-2371.576	-2442.544	70.96839	1.405937	0.1874577	0.709919	0.290081	2.482665
672	-2368.295	-2438.814	70.51905	1.166019	0.2514389	0.596271	0.403729	2.795958
678	-2365.98	-2436.363	70.38321	1.149999	0.3121444	0.564777	0.435223	2.798628
684	-2354.241	-2425.124	70.88281	1.17975	0.2101102	0.579869	0.420131	2.634193
690	-2359.51	-2430.766	71.25587	1.343923	0.2031891	0.604953	0.395047	2.310071
696	-2358.089	-2428.2	70.11044	1.09231	0.2472598	0.580555	0.419445	3.093083
702	-2370.419	-2441.727	71.30782	1.075832	0.3209665	0.580555	0.419445	2.255627
708	-2366.85	-2438.052	71.20202	1.365803	0.2233163	0.664102	0.335898	2.293483
714	-2369.633	-2439.84	70.20736	1.417806	0.1873949	0.664102	0.335898	2.942265
720	-2359.023	-2429.44	70.41707	1.105589	0.1874688	0.675883	0.324117	3.003747
726	-2358.033	-2427.022	68.98821	1.006231	0.1771041	0.650763	0.349237	3.916907
732	-2356.332	-2427.458	71.12555	1.271436	0.1666167	0.684137	0.315863	2.51026
738	-2357.113	-2428.665	71.55211	1.212278	0.2460584	0.545584	0.454416	2.126503
744	-2357.189	-2428.464	71.27454	1.397854	0.2460584	0.627355	0.372645	2.186386
750	-2350.776	-2422.271	71.49504	1.437704	0.2605023	0.666269	0.333731	1.99057
756	-2361.091	-2432.775	71.68464	1.394752	0.2173188	0.515289	0.484711	1.970196
762	-2359.226	-2430.23	71.00324	1.415517	0.1798772	0.598787	0.401213	2.469735
768	-2361.617	-2432.583	70.96562	1.415517	0.221662	0.595786	0.404214	2.414952
774	-2366.03	-2437.002	70.97206	1.440739	0.3623262	0.595786	0.404214	2.179607
780	-2356.887	-2427.105	70.21811	1.238148	0.1771677	0.499792	0.500208	3.062938
786	-2355.053	-2425.02	69.96739	1.248316	0.1580738	0.52582	0.47418	3.243365
792	-2359.055	-2429.159	70.10463	1.199376	0.1450427	0.605153	0.394847	3.218008
798	-2355.219	-2424.78	69.56128	1.381027	0.2667891	0.605153	0.394847	3.218008
804	-2368.258	-2438.221	69.96245	1.275065	0.2394011	0.594179	0.405821	3.084803
810	-2365.173	-2434.628	69.45505	1.284523	0.1992521	0.721473	0.278527	3.446014
816	-2357.692	-2427.888	70.19595	1.184945	0.2397869	0.749214	0.250786	2.998388
